,selected clients id,sparse_categorical_accuracy,sparse_categorical_crossentropy,loss,num_examples,num_batches
60,"['1', '0']",0.47142142057418823,1.388755440711975,1.388755440711975,29935,1498
61,"['1', '2']",0.4719673693180084,1.4026821851730347,1.4026821851730347,49050,2454
62,"['2', '1']",0.47204893827438354,1.401741862297058,1.401741862297058,49050,2454
63,"['1', '2']",0.47202855348587036,1.401179313659668,1.401179313659668,49050,2454
64,"['2', '0']",0.473807692527771,1.3889559507369995,1.3889559507369995,58815,2942
65,"['2', '0']",0.47401171922683716,1.38825523853302,1.38825523853302,58815,2942
66,"['2', '1']",0.4732925593852997,1.399358868598938,1.399358868598938,49050,2454
67,"['0', '2']",0.4741477370262146,1.3871828317642212,1.3871828317642212,58815,2942
68,"['1', '2']",0.4735372066497803,1.3981945514678955,1.3981945514678955,49050,2454
69,"['1', '0']",0.47332555055618286,1.384016990661621,1.3840171098709106,29935,1498
70,"['1', '0']",0.4733923375606537,1.3834631443023682,1.3834631443023682,29935,1498
71,"['2', '0']",0.4750998914241791,1.38522469997406,1.38522469997406,58815,2942
72,"['2', '1']",0.4740672707557678,1.3966032266616821,1.3966032266616821,49050,2454
73,"['0', '2']",0.4755079448223114,1.3842006921768188,1.3842005729675293,58815,2942
74,"['1', '0']",0.4744279384613037,1.381700873374939,1.381700873374939,29935,1498
75,"['1', '2']",0.47484201192855835,1.3952444791793823,1.3952444791793823,49050,2454
76,"['2', '1']",0.47506624460220337,1.3945763111114502,1.3945763111114502,49050,2454
77,"['0', '2']",0.4760860204696655,1.3822741508483887,1.3822741508483887,58815,2942
78,"['1', '0']",0.47492900490760803,1.379878044128418,1.379878044128418,29935,1498
79,"['0', '1']",0.47456154227256775,1.3793463706970215,1.3793463706970215,29935,1498
80,"['2', '0']",0.47673213481903076,1.381216287612915,1.381216287612915,58815,2942
81,"['2', '1']",0.47531092166900635,1.392638921737671,1.392638921737671,49050,2454
82,"['1', '0']",0.4751962721347809,1.3781492710113525,1.3781492710113525,29935,1498
83,"['1', '0']",0.47549691796302795,1.3776170015335083,1.3776170015335083,29935,1498
84,"['2', '0']",0.4776332676410675,1.3795768022537231,1.3795768022537231,58815,2942
85,"['1', '0']",0.4755971133708954,1.3769080638885498,1.3769080638885498,29935,1498
86,"['1', '2']",0.476901113986969,1.3909437656402588,1.3909437656402588,49050,2454
87,"['1', '0']",0.47593119740486145,1.3762881755828857,1.3762881755828857,29935,1498
88,"['1', '2']",0.476901113986969,1.3901515007019043,1.3901515007019043,49050,2454
89,"['0', '1']",0.47593119740486145,1.3755470514297485,1.3755470514297485,29935,1498
90,"['0', '1']",0.4764656722545624,1.3752037286758423,1.3752037286758423,29935,1498
91,"['2', '1']",0.4773292541503906,1.389319896697998,1.389319896697998,49050,2454
92,"['1', '0']",0.47636544704437256,1.3745907545089722,1.3745907545089722,29935,1498
93,"['1', '0']",0.4769667685031891,1.3741580247879028,1.3741580247879028,29935,1498
94,"['1', '0']",0.4769667685031891,1.3737096786499023,1.3737096786499023,29935,1498
95,"['1', '0']",0.47713378071784973,1.3733813762664795,1.3733813762664795,29935,1498
96,"['1', '0']",0.47723400592803955,1.3730545043945312,1.3730543851852417,29935,1498
97,"['2', '1']",0.4786544442176819,1.387797474861145,1.387797474861145,49050,2454
98,"['0', '1']",0.4778352975845337,1.3725475072860718,1.3725475072860718,29935,1498
99,"['0', '2']",0.4801156222820282,1.3747143745422363,1.3747144937515259,58815,2942
100,"['0', '2']",0.4800476133823395,1.3742913007736206,1.3742913007736206,58815,2942
101,"['1', '0']",0.4779021143913269,1.3716553449630737,1.3716553449630737,29935,1498
102,"['0', '1']",0.4783029854297638,1.371188998222351,1.371188998222351,29935,1498
103,"['0', '2']",0.4808127284049988,1.3733328580856323,1.3733328580856323,58815,2942
104,"['1', '2']",0.47975534200668335,1.3849555253982544,1.3849555253982544,49050,2454
105,"['1', '0']",0.4793051481246948,1.3703669309616089,1.3703669309616089,29935,1498
106,"['2', '0']",0.48093172907829285,1.3721232414245605,1.3721232414245605,58815,2942
107,"['1', '2']",0.4805096983909607,1.3839678764343262,1.3839678764343262,49050,2454
108,"['0', '1']",0.4796058237552643,1.3693864345550537,1.3693864345550537,29935,1498
109,"['2', '1']",0.48079511523246765,1.3831647634506226,1.3831647634506226,49050,2454
110,"['2', '0']",0.4822749197483063,1.3706207275390625,1.3706207275390625,58815,2942
111,"['2', '0']",0.48256397247314453,1.3701194524765015,1.3701194524765015,58815,2942
112,"['0', '1']",0.4801737070083618,1.3679274320602417,1.3679274320602417,29935,1498
